Name,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
"Grayson, TX",120877,110595.0,28901,19.0,$517,23.4,932.8
"Gregg, TX",121730,111379.0,38717,21.4,$519,20.0,273.3
"Grimes, TX",26604,23552.0,24565,11.4,$402,29.1,787.46
"Guadalupe, TX",131533,89023.0,32083,23.9,$580,24.6,711.3
"Hale, TX",36273,36602.0,23758,15.0,$381,14.2,1004.68
"Hall, TX",3353,3782.0,20449,13.2,$313,14.4,883.49
"Hamilton, TX",8517,8229.0,29532,22.5,$358,19.2,835.91
"Hansford, TX",5613,5369.0,36735,19.1,$399,19.2,919.81
"Hardeman, TX",4139,4724.0,27179,14.7,$296,19.2,695.11
"Hardin, TX",54635,48073.0,32380,14.4,$465,27.0,890.57
"Harris, TX",4092459,3400578.0,49634,27.8,$639,27.5,1703.48
"Harrison, TX",65631,62110.0,32435,15.8,$447,22.8,899.95
"Hartley, TX",6062,5537.0,29444,18.2,$427,11.3,1462.03
"Haskell, TX",5899,6093.0,29103,10.7,$244,20.8,903.13
"Hays, TX",157107,97589.0,28729,32.0,$651,28.5,677.98
"Hemphill, TX",3807,3351.0,50319,19.2,$430,14.6,906.29
"Henderson, TX",78532,73277.0,27627,13.8,$438,30.8,873.75
"Hidalgo, TX",774769,569463.0,18316,15.2,$417,21.1,1570.87
"Hill, TX",35089,32321.0,26240,14.8,$402,30.0,958.86
"Hockley, TX",22935,22716.0,29906,17.6,$413,20.8,908.39
"Hood, TX",51182,41100.0,36142,22.8,$598,31.6,420.64
"Hopkins, TX",35161,31960.0,27843,16.2,$429,20.9,767.17
"Houston, TX",23732,23185.0,24807,13.2,$336,25.7,1230.91
"Howard, TX",35012,33627.0,28262,10.7,$408,16.8,900.79
"Hudspeth, TX",3476,3344.0,23252,9.0,$240,20.3,4570.98
"Hunt, TX",86129,76596.0,28944,16.5,$517,28.4,840.32
"Hutchinson, TX",22150,23857.0,34600,14.2,$402,17.8,887.42
"Irion, TX",1599,1771.0,31785,12.3,$451,26.5,1051.56
"Jack, TX",9044,8763.0,29509,10.4,$346,21.9,910.66
"Jackson, TX",14075,14391.0,27370,15.6,$385,23.7,829.44
"Jasper, TX",35710,35604.0,28230,14.5,$349,24.8,938.85
"Jeff Davis, TX",2342,2207.0,24746,36.1,$238,14.6,2264.56
"Jefferson, TX",252273,252051.0,33795,18.0,$491,18.8,876.3
"Jim Hogg, TX",5300,5281.0,27298,9.8,$325,20.0,1136.14
"Jim Wells, TX",40838,39326.0,29523,9.7,$402,22.4,864.97
"Johnson, TX",150934,126811.0,29347,16.2,$564,28.8,724.69
"Jones, TX",20202,20785.0,23368,10.2,$287,25.0,928.55
"Karnes, TX",14824,15446.0,20175,6.6,$305,26.0,747.56
"Kaufman, TX",103350,71313.0,29430,15.0,$615,31.6,780.7
"Kendall, TX",33410,23743.0,44325,36.5,$724,26.0,662.45
"Kenedy, TX",416,414.0,28398,19.9,$500,12.8,1458.33
"Kent, TX",808,859.0,22390,18.0,$310,16.4,902.51
"Kerr, TX",49625,43653.0,38431,25.7,$573,17.9,1103.32
"Kimble, TX",4607,4468.0,25491,21.5,$364,16.4,1250.99
"King, TX",286,356.0,24959,30.5,$441,3.4,910.87
"Kinney, TX",3598,3379.0,22984,18.3,$203,17.4,1360.06
"Kleberg, TX",32061,31549.0,28095,19.9,$461,19.1,881.31
"Knox, TX",3719,4253.0,29415,14.9,$245,17.1,850.62
"La Salle, TX",6886,5866.0,19467,8.8,$323,26.0,1486.69
"Lamar, TX",49793,48499.0,27500,17.0,$396,19.8,907.19
"Lamb, TX",13977,14709.0,25367,13.1,$358,15.5,1016.18
"Lampasas, TX",19677,17762.0,35078,16.2,$439,27.1,712.84
